id_order;country;state;city;weight;order_status
616;España;Madrid;VILLAMANTA;231.040000;Entregado
617;España;Bizkaia;Bilbao;7.900000;Entregado
618;Francia;Yonne;Saints-en-Puisaye;370.000000;Entregado
619;España;Asturias;RIOSA;4.000000;Entregado
620;Francia;Pyrénées-Atlantiques;Pau;125.700000;Entregado
622;España;Madrid;Madrid;504.200000;"Recogido por cliente en almacén"
623;España;Alacant;Alicante;589.600000;Entregado
624;España;Madrid;madrid;247.410000;Entregado
625;España;Madrid;"Las Rozas de Madrid";45.500000;Entregado
626;Francia;"Seine, Hauts-de-";Courbevoie;174.300000;Entregado
627;España;Castelló;"Grao de Castellón";69.000000;"Recogido por cliente en almacén"
628;España;Madrid;Madrid;218.500000;Entregado
629;España;Barcelona;Barcelona;37.820000;Entregado
630;España;Guadalajara;"EL CASAR";2.820000;Entregado
631;España;Madrid;MADRID;1.220000;Entregado
632;España;Barcelona;BARCELONA;5.480000;Entregado
633;España;València;Moncada;0.470000;Prueba
634;España;Barcelona;"Els Hostalets de Pierola";868.600000;"Recogido por cliente en almacén"
635;España;"Palma de Mallorca";Palma;7.360000;Entregado
636;Francia;Val-d'Oise;Enghein-les-Bains;69.000000;Entregado
637;España;Granada;" La Zubia";66.400000;Entregado
638;Francia;Seine-Saint-Denis;"Saint Ouen";1.030000;Entregado
639;España;"Palma de Mallorca";Campos;285.000000;"Recogido por cliente en almacén"
640;Francia;"Seine, Hauts-de-";Bagneux;1.450000;Entregado
641;España;"A Coruña";"Bañobre. Miño";28.400000;Entregado
642;España;Madrid;MADRID;9.440000;Entregado
643;Francia;París;Paris;2.480000;Entregado
644;España;Cantabria;Santander;217.600000;Entregado
645;España;"A Coruña";"A Coruña";1.400000;Entregado
646;Francia;Indre-et-Loire;TOURS;0.930000;"Recogido por cliente en almacén"
647;España;Sevilla;Carmona;3.160000;Entregado
648;España;Barcelona;"L'Hospitalet de Llobregat";3.000000;Entregado
649;Francia;Gironde;"Lège-Cap Ferret";3.000000;Entregado
650;España;Valladolid;Valladolid;8.000000;Entregado
651;Francia;Landes;"mont de marsan";90.600000;Entregado
652;España;Huelva;"EL PORTIL";50.000000;Entregado
653;España;Madrid;Madrid;431.600000;Entregado
655;Francia;Lot-et-Garonne;Doudrac;3.570000;Entregado
656;Francia;Gironde;"Eysines ";161.500000;Entregado
657;España;València;València;449.500000;Entregado
658;España;Madrid;"Tres Cantos";115.520000;Entregado
659;España;Barcelona;Barcelona;84.600000;Entregado
660;España;Toledo;Seseña;90.000000;Entregado
661;Francia;Rhône;Lyon;60.760000;Entregado
663;España;Barcelona;Barcelona;7.500000;Entregado
664;Bélgica;Anvers;Antwerpen;25.000000;Entregado
665;Francia;"Corse, Haute-";CALENZANA;47.330000;Entregado
666;España;Sevilla;Carmona;3.140000;Entregado
667;España;Madrid;"El Escorial";278.160000;Entregado
668;España;Alacant;"Orihuela Costa";1.110000;Entregado
669;Bélgica;Bruxelles-Capitale;EVERE;272.000000;Entregado
671;Francia;Alpes-Maritimes;LEVENS;232.400000;Entregado
673;Francia;Bouches-du-Rhône;Marseille;0.600000;Entregado
675;España;Madrid;Madrid;2.940000;Entregado
676;España;Albacete;"Nerpio (Albacete)";53.600000;Entregado
677;España;Toledo;"Talavera de la reina";6.060000;Entregado
678;España;Madrid;Madrid;283.580000;Entregado
679;Francia;"Pas de Calais";Mametz;30.200000;"Recogido por cliente en almacén"
680;España;Barcelona;"El Masnou";76.000000;Entregado
681;Francia;"Garonne, Haute-";TOULOUSE;4.580000;Entregado
682;España;Tarragona;pratdip;321.900000;Entregado
684;España;Madrid;MADRID;9.040000;Entregado
685;España;Alacant;"San Vicente del Raspeig ";669.300000;Entregado
686;España;Huelva;Aracena;4.000000;Entregado
687;Francia;Gard;vergèze;14.980000;Entregado
688;España;Barcelona;Viladecans;99.000000;Entregado
689;España;Girona;Girona;242.060000;Entregado
690;Francia;"Pas de Calais";Arras;337.200000;Entregado
691;Francia;Pyrénées-Atlantiques;pau;0.750000;Entregado
692;España;"Palma de Mallorca";Manacor;210.600000;Entregado
693;España;Barcelona;BARCELONA;6.000000;Entregado
694;España;Málaga;"Ojen ";7.080000;Entregado
695;España;Bizkaia;Bilbao;27.200000;Entregado
696;Francia;Landes;Biscarrosse;540.030000;Entregado
697;España;Gipuzkoa;zarautz;3.080000;Entregado
698;España;Toledo;Argés;27.200000;Entregado
699;España;Tarragona;"La Selva del Camp";2.960000;Entregado
700;España;Sevilla;"San Juan de Aznalfarache";404.700000;Entregado
701;España;Alacant;Javea;0.700000;Entregado
705;España;Barcelona;Barcelona;1.870000;Entregado
706;España;Madrid;MADRID;1.100000;"Recogido por cliente en almacén"
707;Alemania;Berlin;Berlin;1.570000;Entregado
708;España;Madrid;Madrid;86.640000;Entregado
709;España;Granada;Órgiva;52.800000;Entregado
710;España;Lleida;Bossòst;21.000000;Entregado
711;Francia;Gironde;Talence;44.400000;Entregado
712;España;"A Coruña";"A Coruña";8.270000;Entregado
713;España;València;"Cullera ";241.500000;Entregado
714;España;Alacant;Villena;647.470000;"Recogido por cliente en almacén"
715;España;Madrid;Madrid;2.000000;Entregado
716;España;Cáceres;"Peraleda de la mata";4.370000;Entregado
717;España;Bizkaia;Alonsotegi;0.900000;Entregado
718;"Países Bajos";Noord-Holland;Amsterdam;3.910000;"OK para recogida en Oficina postal"
719;España;Barcelona;"Cornellà de Llobregat";4.290000;Entregado
720;España;Madrid;Madrid;1.040000;Entregado
721;Francia;Isère;"Diemoz ";1.660000;Entregado
722;España;València;Alginet;2.000000;Entregado
723;España;Madrid;Madrid;2.570000;Entregado
724;Francia;Gironde;Bordeaux;612.000000;"Recogido por cliente en almacén"
725;España;Madrid;madrid;91.650000;Entregado
726;España;Madrid;Madrid;256.230000;Entregado
727;España;Madrid;MADRID;17.600000;Entregado
728;España;Málaga;Competa;6.460000;Entregado
729;Bélgica;Luxemburgo;Bastogne;3.130000;Entregado
730;España;Madrid;Madrid;8.020000;Entregado
731;Francia;Gironde;"bordeaux ";220.320000;Entregado
732;España;València;"La sima";350.000000;Entregado
733;España;Tarragona;L'Ampolla;177.600000;Entregado
734;España;Almería;Albox;1.220000;Entregado
735;Francia;Ille-et-Vilaine;Bruz;2.350000;Entregado
736;Francia;Bouches-du-Rhône;marseille;141.000000;"Recogido por cliente en almacén"
737;Portugal;Setúbal;Barreiro;1.750000;Entregado
738;España;Málaga;Ojen;3.290000;Entregado
739;España;Gipuzkoa;zarautz;331.980000;Entregado
740;España;Barcelona;Cornella;0.570000;Entregado
741;España;Madrid;Loeches;0.910000;Entregado
742;España;Madrid;"Pozuelo de Alarcón";0.350000;Entregado
743;España;Almería;Almería;52.800000;Entregado
744;España;Valladolid;Valladolid;7.090000;Entregado
745;España;Madrid;Madrid;702.600000;Entregado
746;Francia;Maine-et-Loire;ANGERS;34.000000;Entregado
747;España;Tarragona;reus;368.000000;Entregado
748;España;Madrid;Madrid;4.520000;Entregado
749;España;Barcelona;barcelona;8.230000;Entregado
750;España;Tarragona;Cunit;6.820000;Entregado
751;España;Málaga;Málaga;0.600000;Entregado
755;Francia;Maine-et-Loire;ANGERS;935.890000;Entregado
756;España;Alacant;"Muro de Alcoy";418.000000;Entregado
757;España;Cuenca;Cuenca;9.810000;Entregado
758;España;Madrid;Loeches;59.430000;Entregado
759;Francia;Seine-et-Marne;Montevrain;2.870000;Entregado
760;Chequia;"Jihomoravský kraj";Brno;55.360000;Entregado
763;España;Girona;Arbucies;2.000000;Entregado
764;España;Madrid;Madrid;3.440000;Entregado
765;España;"La Rioja";Logroño;6.020000;Entregado
766;Francia;París;Paris;0.950000;Entregado
767;Francia;Seine-Maritime;"BLANGY SUR BRESLE";6.220000;Entregado
768;Francia;París;paris;377.580000;Entregado
770;España;Lugo;Cospeito;287.500000;Entregado
771;Francia;París;PARIS;571.400000;Entregado
772;España;"Palma de Mallorca";palma;1.400000;"Recogido por cliente en almacén"
773;España;Málaga;"Málaga ";3.960000;Entregado
774;España;Madrid;"Pozuelo de Alarcón";271.000000;Entregado
775;España;Barcelona;"Mataro ";1.810000;Entregado
776;España;Girona;Girona;136.000000;Entregado
777;España;Madrid;MADRID;102.270000;Entregado
778;España;Barcelona;"Sant Cugat del Vallès";1.220000;Entregado
779;Francia;París;Paris;1.520000;Entregado
780;España;Barcelona;Barcelona;25.960000;Entregado
781;España;Madrid;"Madrid ";17.600000;Entregado
782;Francia;Ille-et-Vilaine;Bruz;91.300000;Entregado
783;Francia;Rhône;Saint-Fons;4.490000;"Recogido por cliente en almacén"
784;España;Madrid;"Torrejón de Ardoz";79.550000;Entregado
785;España;Barcelona;Barcelona;2.680000;Entregado
786;Luxemburgo;Mersch;Bissen;6.010000;Entregado
787;Bélgica;"Brabant Flamand";Halle;0.350000;Entregado
788;Bélgica;Bruxelles-Capitale;"Molenbeek St Jean";3.390000;Entregado
789;España;Alacant;Novelda;444.000000;Entregado
790;España;"Palma de Mallorca";Campos;95.000000;Entregado
791;España;Alacant;Javea;486.000000;Entregado
792;España;Alacant;"Orihuela Costa ";0.980000;Entregado
793;España;Barcelona;Barcelona;207.200000;Entregado
794;España;Barcelona;"Alella Barcelona";584.800000;Entregado
